n,route,current_name,canonical_ar,canonical_en,old_names,definition,owner_dept,level,canonical_group,sort,nature,dept_count,depts,decision,status,derivation,view_of,merge_into,retirement_status,route_variant,current_label,current_parent,current_order,section
29,Governance/guard_denials.php,"المحاولات الممنوعة","المحاولات الممنوعة","Guard Denials",—,"تعرض سجلّ المحاولات الممنوعة حيًّا وتتيح مراجعة كل محاولةٍ بتصنيفٍ رباعي. الغرض أن المنع المتكرر يكشف أحد ثلاثة: حاجةً لاستثناء، أو خطأً في تصنيف الحماية، أو محاولةَ تجاوز. تستخدمه","الحوكمة والالتزام","2 — العمليات","التدقيق والمراجعة",710,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يبقى كما هو",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"المحاولات الممنوعة","التدقيق والمراجعة","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
30,Governance/access_review.php,"دورة المراجعة الدورية للصلاحيات","دورة المراجعة الدورية للصلاحيات","Access Review",—,"تدير دورة المراجعة الدورية للصلاحيات: من يملك ماذا وهل ما زال يحتاجه. الغرض تنقية الصلاحيات دوريًّا فلا تتراكم بلا حاجة. تستخدمها إدارة الصلاحيات.","الحوكمة والالتزام","2 — العمليات","التدقيق والمراجعة",720,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يبقى كما هو",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"دورة المراجعة الدورية للصلاحيات","التدقيق والمراجعة","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
31,Governance/perm_explain.php,"تفسير مصدر الصلاحية","تفسير مصدر الصلاحية","Perm Explain",—,"تفسّر مصدر أي صلاحيةٍ يملكها مستخدم: من أين جاءته وبأي طريق. الغرض الإجابة عن سؤال «لماذا يملك فلانٌ هذه الصلاحية؟» بدليلٍ لا بتخمين. تستخدمها إدارة الصلاحيات.","الحوكمة والالتزام","2 — العمليات","التدقيق والمراجعة",730,منظر,1,"إدارة الصلاحيات","يُحوَّل منظرَ عملٍ محفوظًا",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"تفسير مصدر الصلاحية","التدقيق والمراجعة","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
32,admin/sec_governance.php,"فصل الواجبات المتعارضة","فصل الواجبات المتعارضة","Sec Governance",—,"مركزُ حوكمة الصلاحيات بثماني مجموعات: لوحة الحوكمة، والعمل اليومي عبر المعالج، والسجلات، والاعتماد، والمتابعة، والإغلاق بالمراجعة الدورية، والتقارير التي تجيب «لماذا يملك فلانٌ هذه","الحوكمة والالتزام","2 — العمليات","التدقيق والمراجعة",740,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يبقى كما هو",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"فصل الواجبات المتعارضة","التدقيق والمراجعة","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
33,movement/movement_operations.php,الورديات,الورديات,"Movement Operations",—,"تعرض توزيع المعدات على الورديات: الآلية ونوعها والوردية وبدايتها ونهايتها وسائقوها وحالتها، مع إسناد السائقين لكل آليةٍ بتواريخ تعيينهم. الغرض ضبط من يعمل على أي آليةٍ وفي أي وردية","الحوكمة والالتزام","2 — العمليات",العمليات,900,"شاشةٌ مستقلة",1,"إدارة الموقع","يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,الورديات,"العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
34,Governance/gov_dept.php,"حوكمة إدارة الأسطول","حوكمة إدارة الأسطول","Gov Dept","إضافاتُ المالك","مدخلٌ عامٌّ لمكوّن «حوكمة الإدارة» الواحد — يخدم أي إدارةٍ بنطاقها. الغرض إتاحة أدوات الحوكمة لكل إدارةٍ من مكوّنٍ واحدٍ لا نسخةٍ لكلٍّ منها. تستخدمها الإدارات كافّة.","الحوكمة والالتزام","2 — العمليات","التدقيق والمراجعة",750,"شاشةٌ مستقلة",1,"ادارة الاسطول","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة","زاويةُ نظرٍ لنفسِ البيانات مع: Governance/gov_dept_sup.php",—,ACTIVE,—,"حوكمة إدارة الأسطول","إضافاتُ المالك","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
35,Approvals/attribution_board.php,"لوحة الإسناد اليومي","لوحة الإسناد اليومي","Attribution Board",—,"تعرض إسناد وحدات اليوم: الساعات والمسؤول المقترح وبند الالتزام من العقد ومن يُفوتَر له وما للمورد وما للمشغّل، مع بابٍ للاعتراض والحسم. الغرض الحكم على كمية كل واقعةٍ وإسنادها لصاح","الحوكمة والالتزام","2 — العمليات","الالتزام والامتثال",650,"شاشةٌ مستقلة",3,"إدارة المالية · ادارة التشغيل · ادارة المبيعات","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"لوحة الإسناد اليومي","العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
36,Governance/canonical_names.php,"سجل الأسماء المعتمدة","سجل الأسماء المعتمدة","Canonical Names",—,"تعرض سجلّ الأسماء المعتمدة للكيانات والمصطلحات. الغرض توحيد التسمية فلا يُكتب الكيان الواحد بصيغتين. تستخدمها إدارة الصلاحيات والحوكمة.","الحوكمة والالتزام","2 — العمليات","الكيانات والتراخيص",510,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"سجل الأسماء المعتمدة","الكيانات والملكية","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
37,main/users.php,"الصلاحيات / حسابات المستخدمين","حسابات المستخدمين",Users,"الصلاحيات / حسابات المستخدمين","تعرض حسابات المستخدمين باسمها واسم مستخدمها ودورها والموظف المرتبط بها وهاتفها وحالتها. الغرض إنشاء حسابات الدخول وإسناد الأدوار وربط الحساب بشخصٍ حقيقيٍّ في سجلّ الموظفين. يستخدمه","الحوكمة والالتزام","2 — العمليات","الهيكل والأدوار",200,"شاشةٌ مستقلة",2,"إدارة الصلاحيات · ادارة التشغيل","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"الصلاحيات / حسابات المستخدمين","الإعدادات والتدقيق · الحسابات والأدوار","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
38,Settings/roles.php,"الأدوار وقوالب صلاحياتها","الأدوار وقوالب صلاحياتها",Roles,—,"تعرض الأدوار (الإدارات) باسمها ودورها الأب ومستواها وحالتها وتاريخ إنشائها. الغرض تعريف الهيكل الإداري الذي تُبنى عليه الصلاحيات ونطاق الرؤية وسلّم التصعيد؛ والدور الأب هو ما يجعل","الحوكمة والالتزام","2 — العمليات","الهيكل والأدوار",210,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"الأدوار وقوالب صلاحياتها","الحسابات والأدوار","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
